CODIGO,NOMBRE,CREDITOS,TIPO,PRERREQUISITOS
1000003-M,ÁLGEBRA LINEAL,4,FUND. OBLIGATORIA,['1000008-M']
3009430,Análisis y Diseño de Algoritmos,3,DISCIPLINAR OPTATIVA,['3007741']
3007847,BASE DE DATOS I,3,DISCIPLINAR OBLIGATORIA,['3007741']
3007848,BASE DE DATOS II,3,DISCIPLINAR OPTATIVA,['3007847']
1000009-M,BIOLOGÍA GENERAL,3,FUND. OPTATIVA,
1000004-M,CÁLCULO DIFERENCIAL,4,FUND. OBLIGATORIA,
1000006-M,CÁLCULO EN VARIAS VARIABLES,4,FUND. OPTATIVA,['1000005-M']
1000005-M,CÁLCULO INTEGRAL,4,FUND. OBLIGATORIA,['1000004-M']
3010440,Calidad de software,3,DISCIPLINAR OBLIGATORIA,['3007852']
3010836,Cátedra de sistemas: una visión histórico-cultural de la computación,3,DISCIPLINAR OPTATIVA,['3010438']
3010757,Ciencias de la computación y aplicaciones móviles,3,DISCIPLINAR OPTATIVA,"['3007847', '3007865']"
3011018,Creación multimedia,3,DISCIPLINAR OPTATIVA,['3007744']
3007869,CURSOS DE POSGRADO,6,TRABAJO DE GRADO,
3011019,Desarrollo web,3,DISCIPLINAR OPTATIVA,"['3007847', '3007865']"
3007311,DINAMICA DE SISTEMAS,3,DISCIPLINAR OPTATIVA,['3007331']
3007850,DISEÑO Y CONSTRUCCIÓN DE PRODUCTOS DE SOFTWARE,ASIGNATURA,SIN PROGRAMAR 3 DISCIPLINAR OPTATIVA,['3010440']
1000007-M,ECUACIONES DIFERENCIALES,4,FUND. OPTATIVA,"['1000003-M', '1000005-M']"
3006927,ESTADÍSTICA DESCRIPTIVA Y EXPLORATORIA,4,FUND. OPTATIVA,['3006931']
3010651,Estadística I,3,FUND. OBLIGATORIA,['1000005-M']
3006915,ESTADÍSTICA II,4,FUND. OPTATIVA,['3010651']
3009137,Estadística III,4,FUND. OPTATIVA,['3006915']
3007741,ESTRUCTURA DE DATOS,3,DISCIPLINAR OBLIGATORIA,['3007744']
3010407,Estructuración y evaluación de proyectos de ingeniería,3,DISCIPLINAR OBLIGATORIA,['3010408']
1000095,Examen de clasificación en inglés,ASIGNATURA,SIN PROGRAMAR 0 NIVELACIÓN,
1000017-M,FÍSICA DE ELECTRICIDAD Y MAGNETISMO,4,FUND. OPTATIVA,['1000019-M']
1000020-M,"FÍSICA DE OSCILACIONES, ONDAS Y ÓPTICA",4,FUND. OPTATIVA,['1000007-M']
1000019-M,FÍSICA MECÁNICA,4,FUND. OBLIGATORIA,"['1000004-M', '1000008-M']"
3011020,Fundamentos de analítica,3,DISCIPLINAR OBLIGATORIA,"['3010651', '3007847']"
3007202,FUNDAMENTOS DE ECONOMÍA,3,DISCIPLINAR OPTATIVA,
3010334,Fundamentos de matemáticas,4,FUND. OPTATIVA,
3010524,Fundamentos de mercadeo,3,DISCIPLINAR OPTATIVA,['3010425']
3010435,Fundamentos de programación,3,DISCIPLINAR OBLIGATORIA,
3010408,Fundamentos de proyectos en ingeniería,3,DISCIPLINAR OBLIGATORIA,['3010438']
3008883,Fundamentos de sistemas de información e inteligencia de negocios,3,DISCIPLINAR OPTATIVA,['3010435']
3010391,Geometría Aplicada,4,FUND. OPTATIVA,['1000003-M']
1000008-M,GEOMETRÍA VECTORIAL Y ANALÍTICA,4,FUND. OBLIGATORIA,
3007851,GESTIÓN DE PROYECTOS DE SOFTWARE,ASIGNATURA,SIN PROGRAMAR 3 DISCIPLINAR OPTATIVA,['3010440']
3010500,Gestión del talento humano,3,DISCIPLINAR OPTATIVA,['3010425']
3007852,INGENIERÍA DE REQUISITOS,3,DISCIPLINAR OBLIGATORIA,['3007853']
3007853,INGENIERÍA DE SOFTWARE,3,DISCIPLINAR OBLIGATORIA,['3007744']
1000044-M,INGLÉS I,3,NIVELACIÓN,['1000095']
1000048-M,INGLÉS I - VIRTUAL,3,NIVELACIÓN,['1000095']
1000045-M,INGLÉS II,3,NIVELACIÓN,"['1000044-M', '1000048-M']"
1000049-M,INGLÉS II - VIRTUAL,3,NIVELACIÓN,"['1000044-M', '1000048-M']"
1000046-M,INGLÉS III,3,NIVELACIÓN,"['1000045-M', '1000049-M']"
1000050-M,INGLÉS III - VIRTUAL,3,NIVELACIÓN,"['1000045-M', '1000049-M']"
1000053-M,INGLÉS III Y IV - INTENSIVO,6,NIVELACIÓN,"['1000045-M', '1000049-M']"
1000047-M,INGLÉS IV,3,NIVELACIÓN,"['1000046-M', '1000050-M']"
1000051-M,INGLÉS IV - VIRTUAL,3,NIVELACIÓN,"['1000046-M', '1000050-M']"
3010585,Introducción a la creación de videojuegos,3,DISCIPLINAR OPTATIVA,['3007744']
